Booking_ID,Booking_Date,Check_In_Date,Check_Out_Date,Nights_Stayed,Room_Type,Nightly_Rate_NGN,Discount_Percent,Discounted_Nightly_Rate_NGN,Total_Revenue_NGN,Client_Segment,Company_Name,Booking_Channel,Booking_Status,Guest_Nationality,Number_of_Guests,Payment_Method,Sales_Rep,Month,Year,Quarter_Old,Quarter
BK01021,2023-03-13,2023-03-24,2023-04-07,14,Standard,64498,20,51598,722378,Corporate,PZ Cussons,Walk In,Completed,British,1,POS,Fatima Bello,March,2023,%Q,Q1
BK01022,2023-02-11,2023-03-25,2023-04-01,7,Presidential,398170,0,398170,2787190,Leisure,Individual Guest,Direct,Completed,American,4,Cash,Tunde Adeyemi,March,2023,%Q,Q1
BK01023,2024-10-30,2024-11-18,2024-11-29,11,Executive,115720,20,92576,1018336,Government,Zenith Bank,Corporate Agreement,Confirmed,British,2,Bank Transfer,Amaka Osei,November,2024,%Q,Q4
BK01024,2023-08-01,2023-09-29,2023-10-02,3,Suite,177728,20,142182,426547,Corporate,PZ Cussons,Direct,Completed,Ghanaian,1,Cash,Direct Booking,September,2023,%Q,Q3
BK01025,2023-10-28,2023-11-03,2023-11-14,11,Deluxe,78666,10,70799,778793,Corporate,Nigerian Breweries,Direct,Completed,Nigerian,2,Cash,Tunde Adeyemi,November,2023,%Q,Q4
BK01026,2024-05-16,2024-06-01,2024-06-09,8,Standard,48024,5,45623,364982,Group,Individual Guest,Direct,Completed,Nigerian,2,Cash,Tunde Adeyemi,June,2024,%Q,Q2
BK01027,2024-06-21,2024-07-18,2024-07-30,12,Presidential,252534,0,252534,3030408,Corporate,Shell Nigeria,Travel Agent,Completed,British,2,Corporate Account,Tunde Adeyemi,July,2024,%Q,Q3
BK01028,2023-09-16,2023-11-12,2023-11-18,6,Standard,56724,5,53888,323327,Corporate,PZ Cussons,Online Travel Agent,Completed,British,2,POS,Emeka Okonkwo,November,2023,%Q,Q4
BK01029,2023-04-26,2023-06-16,2023-06-29,13,Deluxe,83510,5,79334,1031348,Corporate,Glo Mobile,Online Travel Agent,Completed,American,3,Credit Card,Direct Booking,June,2023,%Q,Q2
BK01030,2024-11-25,2024-12-19,2024-12-21,2,Standard,60423,15,51360,102719,Corporate,Oando PLC,Travel Agent,Completed,Kenyan,2,Bank Transfer,Tunde Adeyemi,December,2024,%Q,Q4
BK01031,2023-10-09,2023-12-03,2023-12-08,5,Standard,54146,0,54146,270730,Leisure,Individual Guest,Corporate Agreement,Completed,Kenyan,1,Bank Transfer,Chioma Eze,December,2023,%Q,Q4
BK01032,2023-06-16,2023-07-02,2023-07-12,10,Standard,48552,10,43697,436968,Leisure,Individual Guest,Travel Agent,Completed,Nigerian,4,Bank Transfer,Fatima Bello,July,2023,%Q,Q3
BK01033,2023-07-12,2023-07-14,2023-07-19,5,Executive,95110,5,90354,451772,Leisure,Individual Guest,Corporate Agreement,Completed,Chinese,3,Credit Card,Direct Booking,July,2023,%Q,Q3
BK01034,2023-01-14,2023-03-13,2023-03-24,11,Suite,160839,10,144755,1592306,Corporate,Unilever Nigeria,Online Travel Agent,Completed,Nigerian,4,Cash,Emeka Okonkwo,March,2023,%Q,Q1
BK01035,2024-07-09,2024-07-21,2024-07-24,3,Executive,119847,0,119847,359541,Group,Individual Guest,Corporate Agreement,Completed,Nigerian,3,Bank Transfer,Fatima Bello,July,2024,%Q,Q3
BK01036,2023-06-15,2023-08-04,2023-08-11,7,Presidential,334475,0,334475,2341325,Leisure,Individual Guest,Direct,Completed,Nigerian,1,Credit Card,Direct Booking,August,2023,%Q,Q3
BK01037,2024-05-02,2024-06-11,2024-06-22,11,Presidential,337867,15,287187,3159056,Corporate,PZ Cussons,Direct,Completed,Nigerian,2,Bank Transfer,Amaka Osei,June,2024,%Q,Q2
BK01038,2024-07-30,2024-09-17,2024-10-01,14,Standard,59923,0,59923,838922,Leisure,Individual Guest,Direct,Completed,American,2,Corporate Account,Emeka Okonkwo,September,2024,%Q,Q3
BK01039,2024-11-02,2024-11-02,2024-11-14,12,Standard,58931,20,47145,565738,Corporate,Oando PLC,Direct,Confirmed,Kenyan,4,Credit Card,Emeka Okonkwo,November,2024,%Q,Q4
BK01040,2024-07-06,2024-07-26,2024-08-05,10,Executive,128081,0,128081,1280810,Leisure,Individual Guest,Online Travel Agent,Completed,Nigerian,3,Corporate Account,Emeka Okonkwo,July,2024,%Q,Q3
BK01041,2024-08-26,2024-10-14,2024-10-19,5,Presidential,377034,10,339331,1696653,Group,Individual Guest,Direct,Completed,Nigerian,3,Cash,Chioma Eze,October,2024,%Q,Q4
BK01042,2023-03-15,2023-03-24,2023-03-27,3,Deluxe,82551,0,82551,247653,Group,Individual Guest,Direct,Completed,Nigerian,4,Corporate Account,Fatima Bello,March,2023,%Q,Q1
BK01043,2023-07-05,2023-07-31,2023-08-14,14,Executive,96280,5,91466,1280524,MICE,FAAN,Walk In,Completed,Nigerian,2,Corporate Account,Emeka Okonkwo,July,2023,%Q,Q3
BK01044,2023-07-17,2023-08-13,2023-08-18,5,Executive,96902,5,92057,460284,Leisure,Individual Guest,Travel Agent,Completed,American,1,Credit Card,Emeka Okonkwo,August,2023,%Q,Q3
BK01045,2024-07-18,2024-08-29,2024-09-08,10,Standard,47750,5,45362,453625,Group,Individual Guest,Online Travel Agent,Confirmed,Nigerian,2,Cash,Emeka Okonkwo,August,2024,%Q,Q3
BK01046,2023-10-14,2023-12-01,2023-12-07,6,Executive,113235,0,113235,0,MICE,Federal Ministry of Works,Direct,No Show,Nigerian,3,Bank Transfer,Fatima Bello,December,2023,%Q,Q4
BK01047,2024-09-08,2024-10-27,2024-10-29,2,Standard,46016,15,39114,78227,Government,Julius Berger,Corporate Agreement,Completed,Nigerian,2,Bank Transfer,Emeka Okonkwo,October,2024,%Q,Q4
BK01048,2024-10-29,2024-12-17,2024-12-22,5,Suite,130996,10,117896,589482,Group,Individual Guest,Corporate Agreement,Completed,South African,1,Cash,Tunde Adeyemi,December,2024,%Q,Q4
BK01049,2023-01-01,2023-01-27,2023-02-01,5,Executive,120995,20,96796,483980,Government,Julius Berger,Corporate Agreement,Confirmed,British,1,Cash,Amaka Osei,January,2023,%Q,Q1
BK01050,2023-01-09,2023-02-12,2023-02-18,6,Executive,119285,5,113321,679924,Corporate,Glo Mobile,Online Travel Agent,Confirmed,Nigerian,4,Cash,Emeka Okonkwo,February,2023,%Q,Q1
BK01051,2024-02-04,2024-03-21,2024-03-24,3,Presidential,320800,0,320800,962400,Group,Individual Guest,Travel Agent,Completed,Nigerian,3,POS,Direct Booking,March,2024,%Q,Q1
BK01052,2023-07-12,2023-09-09,2023-09-23,14,Standard,54139,15,46018,644254,Government,PZ Cussons,Corporate Agreement,Completed,American,4,Bank Transfer,Chioma Eze,September,2023,%Q,Q3
BK01053,2023-06-23,2023-07-06,2023-07-14,8,Suite,172286,0,172286,1378288,Corporate,FBN Holdings,Corporate Agreement,Completed,Nigerian,2,POS,Amaka Osei,July,2023,%Q,Q3
BK01054,2023-08-10,2023-09-05,2023-09-17,12,Executive,110749,5,105212,1262539,Group,Individual Guest,Online Travel Agent,Completed,Ghanaian,2,Cash,Amaka Osei,September,2023,%Q,Q3
BK01055,2024-11-20,2024-12-09,2024-12-13,4,Presidential,346736,0,346736,1386944,Leisure,Individual Guest,Online Travel Agent,Completed,South African,4,Cash,Chioma Eze,December,2024,%Q,Q4
BK01056,2023-10-27,2023-11-10,2023-11-15,5,Standard,51310,0,51310,0,Corporate,Total Energies,Corporate Agreement,Cancelled,Nigerian,3,POS,Fatima Bello,November,2023,%Q,Q4
BK01057,2023-07-04,2023-07-18,2023-07-23,5,Suite,131759,0,131759,658795,Corporate,Nestle Nigeria,Walk In,Completed,British,4,Credit Card,Direct Booking,July,2023,%Q,Q3
BK01058,2023-01-01,2023-01-13,2023-01-23,10,Executive,126373,5,120054,0,Leisure,Individual Guest,Direct,Cancelled,Chinese,1,Bank Transfer,Emeka Okonkwo,January,2023,%Q,Q1
BK01059,2024-04-12,2024-05-18,2024-05-20,2,Standard,49971,20,39977,79954,Corporate,GTCO,Direct,Confirmed,British,2,POS,Emeka Okonkwo,May,2024,%Q,Q2
BK01060,2023-11-28,2024-01-25,2024-02-02,8,Executive,114487,0,114487,915896,MICE,NNPC,Corporate Agreement,Completed,British,2,Bank Transfer,Direct Booking,January,2024,%Q,Q1
BK01061,2023-09-23,2023-09-28,2023-10-09,11,Deluxe,77859,5,73966,0,Corporate,Zenith Bank,Online Travel Agent,Cancelled,American,1,Cash,Emeka Okonkwo,September,2023,%Q,Q3
BK01062,2023-10-05,2023-10-23,2023-11-04,12,Executive,99664,0,99664,1195968,Group,Individual Guest,Travel Agent,Completed,British,4,Credit Card,Direct Booking,October,2023,%Q,Q4
BK01063,2024-05-31,2024-07-11,2024-07-15,4,Deluxe,78704,0,78704,314816,MICE,Zenith Bank,Travel Agent,Confirmed,British,4,Cash,Fatima Bello,July,2024,%Q,Q3
BK01064,2024-04-05,2024-04-24,2024-05-06,12,Executive,112841,0,112841,1354092,Leisure,Individual Guest,Direct,Completed,Nigerian,3,Cash,Emeka Okonkwo,April,2024,%Q,Q2
BK01065,2023-02-20,2023-04-04,2023-04-08,4,Presidential,255438,0,255438,1021752,Airline Crew,FBN Holdings,Travel Agent,Completed,Nigerian,3,Corporate Account,Fatima Bello,April,2023,%Q,Q2
BK01066,2024-07-13,2024-08-22,2024-08-29,7,Executive,100979,5,95930,671510,Leisure,Individual Guest,Online Travel Agent,Completed,Nigerian,4,Cash,Tunde Adeyemi,August,2024,%Q,Q3
BK01067,2023-08-24,2023-10-23,2023-11-03,11,Executive,97404,10,87664,964300,Leisure,Individual Guest,Online Travel Agent,Completed,Indian,1,POS,Emeka Okonkwo,October,2023,%Q,Q4
BK01068,2024-04-15,2024-04-18,2024-04-25,7,Deluxe,86988,0,86988,608916,Leisure,Individual Guest,Corporate Agreement,Completed,South African,2,Cash,Tunde Adeyemi,April,2024,%Q,Q2
BK01069,2024-02-22,2024-03-24,2024-04-05,12,Standard,45945,0,45945,551340,Airline Crew,PZ Cussons,Online Travel Agent,Completed,Nigerian,2,Bank Transfer,Emeka Okonkwo,March,2024,%Q,Q1
BK01070,2024-03-07,2024-04-17,2024-04-19,2,Deluxe,86330,20,69064,138128,Government,UBA Group,Direct,Completed,Ghanaian,4,Credit Card,Emeka Okonkwo,April,2024,%Q,Q2
BK01071,2023-05-17,2023-05-29,2023-06-05,7,Presidential,383232,0,383232,2682624,Group,Individual Guest,Direct,Confirmed,South African,3,Cash,Emeka Okonkwo,May,2023,%Q,Q2
BK01072,2023-09-28,2023-10-17,2023-10-29,12,Presidential,378356,0,378356,4540272,MICE,Seplat Energy,Online Travel Agent,Completed,British,4,Corporate Account,Fatima Bello,October,2023,%Q,Q4
BK01073,2023-06-28,2023-07-13,2023-07-25,12,Presidential,350393,15,297834,3574009,Corporate,Federal Ministry of Works,Corporate Agreement,Confirmed,American,2,Corporate Account,Emeka Okonkwo,July,2023,%Q,Q3
BK01074,2023-01-06,2023-02-07,2023-02-10,3,Presidential,337030,0,337030,1011090,MICE,Seplat Energy,Walk In,Confirmed,Nigerian,2,Corporate Account,Tunde Adeyemi,February,2023,%Q,Q1
BK01075,2024-04-09,2024-04-25,2024-05-08,13,Suite,160845,5,152803,1986436,Group,Individual Guest,Travel Agent,Completed,Kenyan,3,Corporate Account,Fatima Bello,April,2024,%Q,Q2
BK01076,2024-05-30,2024-07-08,2024-07-09,1,Standard,52692,5,50057,50057,Group,Individual Guest,Walk In,Completed,South African,1,Bank Transfer,Emeka Okonkwo,July,2024,%Q,Q3
BK01077,2023-06-01,2023-06-20,2023-07-02,12,Standard,46507,5,44182,530180,Corporate,Dangote Group,Online Travel Agent,Completed,Nigerian,2,Corporate Account,Fatima Bello,June,2023,%Q,Q2
BK01078,2023-05-21,2023-06-29,2023-07-01,2,Executive,110783,5,105244,210488,Leisure,Individual Guest,Direct,Completed,British,1,Cash,Emeka Okonkwo,June,2023,%Q,Q2
BK01079,2023-09-18,2023-10-22,2023-11-02,11,Deluxe,72420,0,72420,796620,Leisure,Individual Guest,Corporate Agreement,Completed,British,4,Cash,Emeka Okonkwo,October,2023,%Q,Q4
BK01080,2023-05-30,2023-07-23,2023-07-30,7,Executive,101989,0,101989,713923,Corporate,9mobile,Walk In,Completed,Nigerian,3,Corporate Account,Direct Booking,July,2023,%Q,Q3
BK01081,2024-06-20,2024-08-02,2024-08-16,14,Standard,64870,0,64870,908180,Group,Individual Guest,Walk In,Completed,South African,3,POS,Tunde Adeyemi,August,2024,%Q,Q3
BK01082,2024-09-04,2024-10-13,2024-10-17,4,Suite,164417,10,147975,591901,MICE,Nestle Nigeria,Walk In,Completed,British,1,Corporate Account,Chioma Eze,October,2024,%Q,Q4
BK01083,2024-01-01,2024-01-09,2024-01-21,12,Standard,54670,5,51936,0,Corporate,Federal Ministry of Works,Direct,Cancelled,Nigerian,3,POS,Chioma Eze,January,2024,%Q,Q1
BK01084,2023-07-23,2023-09-21,2023-10-05,14,Executive,114342,10,102908,1440709,Group,Individual Guest,Direct,Completed,Indian,4,Credit Card,Tunde Adeyemi,September,2023,%Q,Q3
BK01085,2023-11-21,2024-01-10,2024-01-12,2,Executive,95912,0,95912,191824,Corporate,Unilever Nigeria,Corporate Agreement,Completed,American,3,Corporate Account,Fatima Bello,January,2024,%Q,Q1
BK01086,2024-10-23,2024-11-22,2024-11-26,4,Standard,63396,0,63396,253584,Corporate,Guinness Nigeria,Corporate Agreement,Completed,Nigerian,4,Cash,Direct Booking,November,2024,%Q,Q4
BK01087,2023-03-25,2023-05-24,2023-05-25,1,Standard,54973,10,49476,49476,Airline Crew,Unilever Nigeria,Travel Agent,Confirmed,Nigerian,4,Cash,Emeka Okonkwo,May,2023,%Q,Q2
BK01088,2023-04-28,2023-06-08,2023-06-15,7,Standard,61034,0,61034,427238,Group,Individual Guest,Direct,Completed,American,4,Corporate Account,Tunde Adeyemi,June,2023,%Q,Q2
BK01089,2023-11-25,2024-01-07,2024-01-09,2,Suite,155682,20,124546,249091,Government,9mobile,Direct,Confirmed,Indian,2,Bank Transfer,Emeka Okonkwo,January,2024,%Q,Q1
BK01090,2024-10-15,2024-10-16,2024-10-26,10,Standard,55928,5,53132,531316,Corporate,Nestle Nigeria,Direct,Completed,Ghanaian,2,Credit Card,Fatima Bello,October,2024,%Q,Q4
BK01091,2023-11-24,2023-12-03,2023-12-16,13,Presidential,250743,0,250743,3259659,Corporate,Shell Nigeria,Online Travel Agent,Completed,Ghanaian,2,Bank Transfer,Amaka Osei,December,2023,%Q,Q4
BK01092,2023-11-13,2024-01-02,2024-01-15,13,Deluxe,89295,15,75901,986710,Corporate,Total Energies,Direct,Completed,Nigerian,4,Bank Transfer,Amaka Osei,January,2024,%Q,Q1
BK01093,2023-11-30,2024-01-06,2024-01-15,9,Standard,59811,5,56820,511384,Leisure,Individual Guest,Direct,Completed,South African,3,POS,Direct Booking,January,2024,%Q,Q1
BK01094,2024-10-17,2024-10-20,2024-10-21,1,Executive,121320,0,121320,121320,Leisure,Individual Guest,Corporate Agreement,Confirmed,Nigerian,2,Cash,Amaka Osei,October,2024,%Q,Q4
BK01095,2023-04-01,2023-05-10,2023-05-15,5,Presidential,393748,0,393748,1968740,Group,Individual Guest,Corporate Agreement,Completed,Nigerian,4,POS,Fatima Bello,May,2023,%Q,Q2
BK01096,2024-10-26,2024-12-19,2024-12-21,2,Presidential,306367,0,306367,612734,Leisure,Individual Guest,Online Travel Agent,Completed,Ghanaian,1,Corporate Account,Emeka Okonkwo,December,2024,%Q,Q4
BK01097,2024-01-31,2024-03-13,2024-03-19,6,Suite,144530,10,130077,780462,Airline Crew,Transcorp Hotels,Travel Agent,Confirmed,Nigerian,2,Cash,Amaka Osei,March,2024,%Q,Q1
BK01098,2023-01-27,2023-03-03,2023-03-13,10,Presidential,336414,10,302773,3027726,Group,Individual Guest,Travel Agent,Completed,Chinese,3,Bank Transfer,Emeka Okonkwo,March,2023,%Q,Q1
BK01099,2023-11-10,2023-11-16,2023-11-22,6,Presidential,383015,20,306412,0,Corporate,Transcorp Hotels,Direct,Cancelled,Kenyan,3,Bank Transfer,Chioma Eze,November,2023,%Q,Q4
BK01100,2023-07-24,2023-08-20,2023-09-02,13,Presidential,395945,5,376148,4889921,Corporate,FBN Holdings,Direct,Confirmed,South African,1,Cash,Chioma Eze,August,2023,%Q,Q3
BK01101,2023-04-15,2023-05-27,2023-06-06,10,Executive,99560,10,89604,896040,Corporate,Air Peace,Online Travel Agent,Confirmed,Nigerian,2,Cash,Emeka Okonkwo,May,2023,%Q,Q2
BK01102,2023-10-27,2023-11-16,2023-11-28,12,Presidential,272270,15,231430,0,Government,Shell Nigeria,Corporate Agreement,Cancelled,American,4,Corporate Account,Chioma Eze,November,2023,%Q,Q4
BK01103,2024-08-18,2024-09-13,2024-09-21,8,Suite,134127,0,134127,1073016,MICE,Unilever Nigeria,Direct,Completed,American,3,Corporate Account,Fatima Bello,September,2024,%Q,Q3
BK01104,2023-07-07,2023-08-14,2023-08-21,7,Standard,45251,15,38463,269243,Corporate,Lafarge Africa,Travel Agent,Completed,Nigerian,4,Bank Transfer,Amaka Osei,August,2023,%Q,Q3
BK01105,2023-06-05,2023-06-29,2023-07-02,3,Presidential,310322,0,310322,930966,Leisure,Individual Guest,Travel Agent,Completed,Nigerian,4,Bank Transfer,Direct Booking,June,2023,%Q,Q2
BK01106,2024-02-20,2024-04-15,2024-04-17,2,Suite,157732,0,157732,315464,Leisure,Individual Guest,Corporate Agreement,Completed,Nigerian,3,Bank Transfer,Emeka Okonkwo,April,2024,%Q,Q2
BK01107,2024-08-02,2024-09-24,2024-10-02,8,Suite,125775,0,125775,1006200,Leisure,Individual Guest,Online Travel Agent,Confirmed,Nigerian,3,Corporate Account,Amaka Osei,September,2024,%Q,Q3
BK01108,2023-06-27,2023-08-15,2023-08-21,6,Deluxe,72502,0,72502,435012,Leisure,Individual Guest,Online Travel Agent,Confirmed,French,2,Cash,Chioma Eze,August,2023,%Q,Q3
BK01109,2023-03-31,2023-04-16,2023-04-19,3,Deluxe,75685,10,68116,204350,Group,Individual Guest,Corporate Agreement,Completed,Nigerian,4,Corporate Account,Direct Booking,April,2023,%Q,Q2
BK01110,2024-07-04,2024-08-16,2024-08-24,8,Presidential,334727,0,334727,0,MICE,Airtel Nigeria,Direct,Cancelled,Nigerian,1,Cash,Chioma Eze,August,2024,%Q,Q3
BK01111,2024-05-15,2024-06-03,2024-06-05,2,Executive,124616,15,105924,211847,Corporate,Nigerian Ports Authority,Direct,Completed,Kenyan,4,POS,Amaka Osei,June,2024,%Q,Q2
BK01112,2024-06-28,2024-08-17,2024-08-26,9,Standard,59736,15,50776,456980,Government,Julius Berger,Online Travel Agent,Completed,Nigerian,1,Corporate Account,Amaka Osei,August,2024,%Q,Q3
BK01113,2023-02-15,2023-03-28,2023-04-06,9,Deluxe,71282,15,60590,545307,Corporate,Seplat Energy,Online Travel Agent,Completed,British,3,Cash,Chioma Eze,March,2023,%Q,Q1
BK01114,2024-02-02,2024-02-23,2024-03-07,13,Presidential,263727,0,263727,3428451,MICE,Glo Mobile,Direct,Confirmed,American,2,Cash,Chioma Eze,February,2024,%Q,Q1
BK01115,2023-02-11,2023-03-25,2023-04-04,10,Deluxe,81462,5,77389,773889,Corporate,Lagos State Government,Corporate Agreement,Confirmed,Nigerian,3,Corporate Account,Fatima Bello,March,2023,%Q,Q1
BK01116,2024-09-25,2024-11-17,2024-11-29,12,Presidential,274498,5,260773,3129277,Group,Individual Guest,Online Travel Agent,Completed,Nigerian,3,Credit Card,Tunde Adeyemi,November,2024,%Q,Q4
BK01117,2023-07-08,2023-07-16,2023-07-20,4,Deluxe,72528,20,58022,232090,Corporate,Nigerian Breweries,Online Travel Agent,Completed,South African,3,Bank Transfer,Fatima Bello,July,2023,%Q,Q3
BK01118,2023-04-21,2023-05-15,2023-05-25,10,Deluxe,75316,20,60253,602528,Corporate,Chevron Nigeria,Direct,Completed,Nigerian,4,Credit Card,Direct Booking,May,2023,%Q,Q2
BK01119,2023-09-02,2023-10-19,2023-11-01,13,Executive,110335,5,104818,1362637,Leisure,Individual Guest,Travel Agent,Completed,Nigerian,4,Cash,Tunde Adeyemi,October,2023,%Q,Q4
BK01120,2023-09-22,2023-10-16,2023-10-29,13,Presidential,388270,0,388270,0,Leisure,Individual Guest,Direct,Cancelled,British,4,Bank Transfer,Chioma Eze,October,2023,%Q,Q4
BK01121,2024-06-06,2024-07-21,2024-07-23,2,Presidential,282683,15,240281,480561,Corporate,Chevron Nigeria,Walk In,Completed,Nigerian,2,Bank Transfer,Emeka Okonkwo,July,2024,%Q,Q3
BK01122,2023-11-28,2023-12-24,2023-12-25,1,Standard,57991,0,57991,0,Leisure,Individual Guest,Walk In,No Show,Nigerian,1,Cash,Amaka Osei,December,2023,%Q,Q4
BK01123,2023-05-28,2023-05-30,2023-06-02,3,Suite,174379,0,174379,523137,Leisure,Individual Guest,Travel Agent,Completed,Nigerian,1,Bank Transfer,Fatima Bello,May,2023,%Q,Q2
BK01124,2023-07-29,2023-09-20,2023-09-24,4,Deluxe,87983,20,70386,281546,Government,NNPC,Direct,Confirmed,Nigerian,4,Credit Card,Amaka Osei,September,2023,%Q,Q3
BK01125,2024-09-25,2024-09-29,2024-10-07,8,Standard,61378,0,61378,491024,Leisure,Individual Guest,Online Travel Agent,Confirmed,Nigerian,4,Cash,Tunde Adeyemi,September,2024,%Q,Q3
BK01126,2024-09-06,2024-09-21,2024-09-27,6,Presidential,359200,15,305320,1831920,Corporate,Access Bank,Online Travel Agent,Completed,Indian,1,POS,Fatima Bello,September,2024,%Q,Q3
BK01127,2024-03-17,2024-04-26,2024-04-27,1,Executive,119464,5,113491,113491,Corporate,Air Peace,Direct,Completed,Nigerian,3,Bank Transfer,Direct Booking,April,2024,%Q,Q2
BK01128,2023-01-12,2023-02-15,2023-02-21,6,Suite,173314,0,173314,1039884,Group,Individual Guest,Corporate Agreement,Completed,German,2,Credit Card,Emeka Okonkwo,February,2023,%Q,Q1
BK01129,2024-03-26,2024-04-13,2024-04-14,1,Deluxe,71435,0,71435,71435,MICE,Conoil,Online Travel Agent,Completed,Nigerian,3,Corporate Account,Fatima Bello,April,2024,%Q,Q2
BK01130,2024-10-06,2024-10-24,2024-10-28,4,Suite,176501,0,176501,706004,MICE,Glo Mobile,Travel Agent,Completed,Nigerian,4,Corporate Account,Emeka Okonkwo,October,2024,%Q,Q4
BK01131,2023-05-28,2023-07-11,2023-07-19,8,Executive,119074,15,101213,809703,Government,FBN Holdings,Corporate Agreement,Completed,Nigerian,3,Credit Card,Fatima Bello,July,2023,%Q,Q3
BK01132,2023-03-27,2023-04-16,2023-04-18,2,Suite,140086,10,126077,252155,Leisure,Individual Guest,Direct,Completed,Nigerian,3,Bank Transfer,Emeka Okonkwo,April,2023,%Q,Q2
BK01133,2024-02-10,2024-03-21,2024-03-26,5,Standard,47458,10,42712,213561,Group,Individual Guest,Online Travel Agent,Completed,South African,2,Bank Transfer,Tunde Adeyemi,March,2024,%Q,Q1
